1,Teachings of Freedom
2,Guide of Freedom
3,Philosophies of Freedom
4,Teachings of Resistance
5,Guide of Resistance
6,Philosophies of Resistance
7,Teachings of Ballad
8,Guide of Ballad
9,Philosophies of Ballad
10,Teachings of Prosperity
11,Guide of Prosperity
12,Philosophies of Prosperity
13,Teachings of Diligence
14,Guide of Diligence
15,Philosophies of Diligence
16,Teachings of Gold
17,Guide of Gold
18,Philosophies of Gold
19,Teachings of Transience
20,Guide of Transience
21,Philosophies of Transience
22,Teachings of Elegance
23,Guide of Elegance
24,Philosophies of Elegance
25,Teachings of Light
26,Guide of Light
27,Philosophies of Light
28,Teachings of Admonition
29,Guide of Admonition
30,Philosophies of Admonition
31,Teachings of Ingenuity
32,Guide of Ingenuity
33,Philosophies of Ingenuity
34,Teachings of Praxis
35,Guide of Praxis
36,Philosophies of Praxis
37,Teachings of Equity
38,Guide of Equity
39,Philosophies of Equity
40,Teachings of Justice
41,Guide of Justice
42,Philosophies of Justice
43,Teachings of Order
44,Guide of Order
45,Philosophies of Order
46,Teachings of Contention
47,Guide of Contention
48,Philosophies of Contention
49,Teachings of Kindling
50,Guide of of Kindling
51,Philosophies of Kindling
52,Teachings of Conflict
53,Guide of Conflict
54,Philosophies of Conflict
